model_signature,datasets_completed,datasets_expected,datasets,selected_candidates,mean_score,mean_val_auc,mean_val_ap,mean_val_mrr,mean_val_hits@10,mean_val_ndcg,model_config
d3565274c126,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""icews14"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""tkgl-yago"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr""}",0.47749491030698205,0.8180923461914062,0.6116392358274478,0.33546999568304614,0.4333333333333334,0.9044274311510488,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.01,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
c703ef12326b,5,5,"icews05-15,icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews05-15"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""icews14"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-yago"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr""}",0.47434164897120307,0.8207657623291016,0.6160182522559008,0.33009398658884437,0.42666666666666675,0.9052029638860736,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
a39a8f432e4d,4,5,"icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews14"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""tkgl-yago"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr""}",0.45746122815658874,0.7878818511962891,0.5589186944412619,0.3256096268391722,0.4125,0.8892451801099887,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.01,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
abbd9d64a8a6,4,5,"icews14,tkgl-smallpedia,tkgl-yago,yago15k-temporal","{""icews14"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-yago"": ""global_relpop_frozen_enhanced_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr""}",0.4195181413537097,0.7684751510620117,0.5470832288864483,0.27955243562061555,0.3541666666666667,0.8842234832400071,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
fd648a2b58e7,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p05_rl0p02_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p01_rl0p02_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p01_rl0p02_m0_bpr""}",0.2832668722331302,0.724639892578125,0.4705545429771541,0.10699521040549122,0.18333333333333335,0.862874242882385,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.1,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
dea802352042,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr""}",0.27869545960133196,0.723358154296875,0.4689087164628429,0.09858906518957523,0.18333333333333335,0.8623004515560746,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
725c785fd660,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p005_m0_bpr""}",0.2784116447044788,0.7119028727213542,0.4513433414485633,0.1056523789049693,0.18333333333333335,0.8562214373197533,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.001,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
46452d41ef32,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr""}",0.27819806199572844,0.7151753743489583,0.45548493919112554,0.10326380666409692,0.18333333333333335,0.8581798240089658,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":4.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
5aaa982e2693,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr""}",0.27778187093019346,0.7146962483723959,0.4544795330475628,0.10284911918245872,0.18333333333333335,0.8578390229654325,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":4.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.01,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
66f45cdd5b76,3,5,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p001_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp4_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr""}",0.27776995330196436,0.714654541015625,0.4542381397782842,0.1029219409710707,0.18333333333333335,0.8577386813223843,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":4.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.001,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
