model_signature,datasets_completed,datasets_expected,datasets,selected_candidates,mean_score,mean_val_auc,mean_val_ap,mean_val_mrr,mean_val_hits@10,mean_val_ndcg,model_config
c703ef12326b,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p001_rl0p005_m0_bpr""}",0.2792064143425153,0.7137023925781251,0.45308444174328094,0.10648465073383397,0.18333333333333335,0.8564963641853328,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
d3565274c126,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p01_sa0p001_rl0p005_m0_bpr""}",0.279118322132212,0.7115214029947916,0.45186783581551926,0.10692228947173489,0.18333333333333335,0.8563426520761036,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.01,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
dea802352042,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p02_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr""}",0.2786446923412817,0.7232808430989582,0.46862454250104096,0.09860477962129392,0.18333333333333335,0.8621791233386396,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
725c785fd660,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p005_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p001_sa0p001_rl0p005_m0_bpr""}",0.2784116447044788,0.7119028727213542,0.4513433414485633,0.1056523789049693,0.18333333333333335,0.8562214373197533,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.001,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
42ed2769ce79,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0p01_rl0p02_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0p05_rl0p05_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p1_sa0p05_rl0p05_m0_bpr""}",0.2757604116635259,0.7209075927734375,0.4638145289250846,0.10165124838064103,0.16666666666666666,0.8598389516243748,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.1,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
88d0535ca24f,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p01_rl0p05_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p05_rl0p05_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp1_relpopfix48_sr0p05_sa0p05_rl0p02_m0_bpr""}",0.27542309768151313,0.7200897216796877,0.462001295008222,0.10172770148337905,0.16666666666666666,0.8592123327127261,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":1.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
af4ee6d312e2,3,3,"icews14,tkgl-smallpedia,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr"", ""tkgl-smallpedia"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p001_sa0p001_rl0p001_m0_bpr""}",0.2735587784213845,0.7105305989583334,0.45411651647443657,0.10180578784533129,0.16666666666666666,0.8567854374630333,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.001,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
fd648a2b58e7,2,3,"icews14,yago15k-temporal","{""icews14"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p05_rl0p02_m0_bpr"", ""yago15k-temporal"": ""global_relpop_residual_rank_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p1_sa0p01_rl0p02_m0_bpr""}",0.32582067405742393,0.7449188232421875,0.5069205397770095,0.15130475766550303,0.25,0.8688427309601161,"{""adapter_rank"":12,""freeze_history_prior"":false,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.1,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
a39a8f432e4d,2,3,"icews14,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p01_sa0p001_rl0p001_m0_bpr""}",0.31513271941424814,0.7374267578125,0.4983204952090614,0.1438307645295701,0.225,0.8659792497747888,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.01,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
abbd9d64a8a6,2,3,"icews14,yago15k-temporal","{""icews14"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr"", ""yago15k-temporal"": ""global_relpop_frozen_epsilon_probe_h96_r12_a12_p4x4_l1_neg1_lr0p001_hp2_relpopfix48_sr0p05_sa0p001_rl0p001_m0_bpr""}",0.315010442129503,0.7372467041015625,0.49782247671868607,0.1438005498168536,0.225,0.8657446050819513,"{""adapter_rank"":12,""freeze_history_prior"":true,""hidden_dim"":96,""history_prior_dim"":48,""history_prior_hidden_dim"":24,""history_prior_init_scale"":2.0,""history_prior_layer_norm"":false,""history_prior_mode"":""linear"",""history_prior_weights"":[2.0,0.5,0.1,0.1,0.1,0.0,0.6,0.6,0.1,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.5,0.5],""prompt_heads"":4,""prompt_tokens"":4,""relation_rank"":12,""struct_feature_hidden_dim"":96,""struct_feature_init_scale"":0.05,""temporal_encoder"":""mlp"",""temporal_layers"":1,""time_dim"":32,""time_encoder"":""fourier"",""use_cross"":true,""use_gate"":true,""use_history_prior"":true,""use_sem"":true,""use_struct"":true,""use_struct_feature_residual"":true,""use_variational"":true}"
